id,date,time,daypart,name,company,location,isInviteOnly,topics,formats,description,externalHref
5363,2026-06-01,04:00:00,morning,4am IRR - for the inner IRR nerd in you!,VCAR,Virtual (NYC),False,Founder fundraising / VC;Consumer / creative / media,fundraising_vc,,https://partiful.com/e/iyeVYNaUJxZqidnHixwa
4704,2026-06-01,06:30:00,morning,Founders Morning Run,Leverage.work,Central Park,False,Founder fundraising / VC;Consumer / creative / media,community_networking;fundraising_vc;wellness_social,"Start your day with a refreshing community run in Central Park. Connect with fellow founders, investors, and tech enthusiasts in a relaxed, energizing sett…",https://partiful.com/e/NG7L81DpetKxjQlMEFbf
4518,2026-06-01,07:00:00,morning,TechWeek (unofficial!) Central Park KickOff Run,off labs,Central Park,False,AI / Agents / GenAI;Consumer / creative / media;Climate / deeptech / hardware,technical_talk_workshop;community_networking;wellness_social,"Let's get Tech Week started early and with ENERGY! We'll do a 5km loop, at 6:00/km pace, as we discuss AI Models, Reasoning Levels, Strategies and AI Nativ…",https://partiful.com/e/Wgd27MHUJPFotcMBodca?
5279,2026-06-01,07:00:00,morning,Roast • NY Tech Week Kickoff Morning Mixer,Daap,Chelsea,False,other,community_networking,,https://partiful.com/e/QsmJ6VLHB6BH422rNU5M
5974,2026-06-01,07:00:00,morning,Central Park Morning Run,off labs,Central Park,True,Consumer / creative / media,technical_talk_workshop;community_networking;wellness_social,,
4915,2026-06-01,07:30:00,morning,Burn & Build,sam.,Chelsea,False,Consumer / creative / media,technical_talk_workshop;wellness_social,"Kick off Tech Week with the ultimate high-performance multitask: 50 minutes of high-intensity intervals in the Barry’s Red Room, followed by a light breakf…",https://partiful.com/e/G6SmnsyZ3s56lOfHuRLW?c=N4J_D6nD
6,2026-06-01,08:00:00,morning,Agents Meet at New York 2026: Meet Your Next Partner,Walnut AI,Brooklyn,False,AI / Agents / GenAI;Consumer / creative / media,other,,https://partiful.com/e/xEcp6n0qYyUuFZdbVauV
4105,2026-06-01,08:00:00,morning,The Infrastructure Behind the Mission,Watch Her Win |OBR Consultants LLC,Upper Manhattan,False,AI infra / devtools / cloud,technical_talk_workshop;community_networking;wellness_social,"The Infrastructure Behind the Mission is a four-day series running the full length of NY Tech Week, convening technology leaders and community organization…",https://partiful.com/e/Sowk0tqQHvZI3YEvybKo
4379,2026-06-01,08:00:00,morning,Mercury’s Vinyl House,Mercury,SoHo,False,other,other,,https://partiful.com/e/OQcXidQ0QEKhEdW61f49
4533,2026-06-01,08:00:00,morning,"Walk & Talk: On Mental Health, Human Connection and the Role of Technology",Steady,Central Park,False,Health / bio / wellness;Consumer / creative / media,community_networking;wellness_social,Kick off Tech Week with a morning walk in Central Park and a conversation about the human side of innovation. As technology continues to reshape how we liv…,https://partiful.com/e/nM6p1woMkNCsrCmbgFlS
5336,2026-06-01,08:00:00,morning,Fintech Welcome Breakfast,Level,Union Square,False,Fintech / finance,community_networking,,https://partiful.com/e/3vFUEeyPFV9qm4ALw9iH?c=2M5Guasf
4033,2026-06-01,08:30:00,morning,"3D GenAI, Physical Ai & Spatial Computing Powered By Solaya X Betaworks",Solaya,Meatpacking District,False,AI / Agents / GenAI;Consumer / creative / media,community_networking,"Create party invitations online for any event. Design custom invites in seconds, and send invites instantly with our free invitation maker!",https://partiful.com/e/CBiN0GMrUu8OZJUDP3Xm
4458,2026-06-01,08:30:00,morning,TechWalk,TechWalk,Central Park,False,other,technical_talk_workshop;community_networking;wellness_social,"​​​​We're building a different sort of networking event for members of the Tech and SaaS communities to get outside, meet new people, and enjoy some fresh …",https://partiful.com/e/tZ2qzHAksZLgG2iYlhdC
238,2026-06-01,09:00:00,morning,Faith Driven Investors & Founders,Shane & Ife,Financial District,False,AI / Agents / GenAI;Founder fundraising / VC,fundraising_vc,,https://partiful.com/e/qfMnfCfdVU5HZZuZjFaq
4240,2026-06-01,09:00:00,morning,Pitch and Run Monday,Pitch and Run,Chelsea,False,Founder fundraising / VC,community_networking;fundraising_vc;wellness_social,,https://partiful.com/e/D7MpYUcIJgGdODVrUDnM
4294,2026-06-01,09:00:00,morning,Agentic Voice Workshop,"Cloudonix, Inc",Financial District,False,AI / Agents / GenAI;AI infra / devtools / cloud,technical_talk_workshop,,https://partiful.com/e/pxdWahJXi0EQklEuU50W
4367,2026-06-01,09:00:00,morning,Proof of Concept Fest: A Startup-Only Hackathon,GoTogether AI,Midtown,False,AI / Agents / GenAI;Consumer / creative / media,technical_talk_workshop;community_networking;wellness_social,"PoC Fest is the only hackathon at NYC Tech Week where winning teams walk away with letters of intent from sponsors, not just prize money. This is a one-day…",https://partiful.com/e/uaMJVd3xreNGjfWDdiUF
4635,2026-06-01,09:00:00,morning,Raisi: Pre-Seed and Seed Fundraising Breakfast,Raisi,Midtown,False,AI / Agents / GenAI;Founder fundraising / VC,community_networking;fundraising_vc,,https://partiful.com/e/JBmmrgrMzARVXgTMO34l
4904,2026-06-01,09:00:00,morning,"Networking Breakfast , AI Job Market, industry trends and coffee",XL AI,Hudson Yards,False,AI / Agents / GenAI;Consumer / creative / media,community_networking,,https://partiful.com/e/EbLHvoBrSl7ZV6xScsgz
4969,2026-06-01,09:00:00,morning,Accelerate AI Summit: Australian x US AI,American Australian Association,Midtown,False,AI / Agents / GenAI;Founder fundraising / VC,technical_talk_workshop;fundraising_vc,"The Australian AI Summit 2026 brings together Australian founders, U.S. investors, enterprise leaders, and policymakers for a two-day program in New York f…",https://partiful.com/e/ifuH1HpxZuX8IjSb3Khb
5153,2026-06-01,09:00:00,morning,Female Founders and Funders breakfast,Sisters Capital,Midtown,False,AI infra / devtools / cloud;Founder fundraising / VC;Diversity / women / international,technical_talk_workshop;community_networking;fundraising_vc,Kick off your morning with an exclusive breakfast gathering dedicated to New York’s ecosystem of female entrepreneurs and investors. This event brings toge…,https://partiful.com/e/NUHPiYrVsDZX1D3CYfBZ
5647,2026-06-01,09:00:00,morning,"Tech Trends Unleashed: Explore, Engage, Excel in Queens!",Queens Chamber of Commerce,Queens,False,other,other,,https://partiful.com/e/8NDpBHnUtRgzbjpPnFz6
5413,2026-06-01,09:30:00,morning,Brews and Bagels,France Ovalle,Midtown,False,other,other,,https://partiful.com/e/FXwx27l3v2cgICQDCvAm
112,2026-06-01,10:00:00,morning,Building Products That Scale Globally,Travelbay,Upper Manhattan,False,AI infra / devtools / cloud;Diversity / women / international,technical_talk_workshop;product_demo_showcase,"In an ecosystem often driven by hype, Payaza has focused on disciplined execution and institutional-grade infrastructure. The company is building a cross-b…",https://partiful.com/e/oCQeG6SZP23qz5nvcxBh
4225,2026-06-01,10:00:00,morning,The Next Gen of Latino Founders,Colectivo,Queens,False,Founder fundraising / VC;Diversity / women / international,other,,https://partiful.com/e/pZyjQqYyNowpa54etkKp
4316,2026-06-01,10:00:00,morning,AI’s Missing Voices: Why Girls Matter,Girls Who Code,Flatiron,False,AI / Agents / GenAI;Diversity / women / international,other,,https://partiful.com/e/9JBYSWrl1xooe9Oee17J
4339,2026-06-01,10:00:00,morning,Art Tech Showcase,Beat Brush Studios,Brooklyn,False,Consumer / creative / media,technical_talk_workshop;product_demo_showcase,,https://partiful.com/e/IenfsGwJAOT1zkyDbOxu
4867,2026-06-01,10:00:00,morning,"Photoreal VR for Archvis, Real Estate and Location-Based Entertainment",Agile Lens,Financial District,False,AI / Agents / GenAI;Consumer / creative / media,other,"An invite-only VR showroom tour for select companies and VIPs in the architecture, real estate, hospitality, attraction, live experience, and spatial story…",https://partiful.com/e/6bUok8RK79B927TfqX7F
4908,2026-06-01,10:00:00,morning,Why Your Team Isn’t Scaling (Yet): A Live Leadership OS Diagnostic,"Leap Leadership Solutions, LLC",Flatiron,False,AI / Agents / GenAI,product_demo_showcase,"As companies scale, the constraint isn’t product or funding - it’s how teams operate. This session gives you a simple, practical system to pressure test yo…",https://partiful.com/e/DWeEKEPfH5j5K8rt6Q6W
4961,2026-06-01,10:00:00,morning,Founder Finance Office Hours: Second Opinion,Haven,Chelsea,False,Founder fundraising / VC;Fintech / finance,other,,https://partiful.com/e/iNz2d5f2PFPwdFnpvHOl
